Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Bassirou Ndiaye,SEN,FW,Ligue 1,22,5,0,152,0,0,0,0
Bastien Meupiyou,FRA,DF,Ligue 1,18,1,1,8,0,0,0,0
Bebé,CPV,"MF,FW",La Liga,33,18,0,199,2,0,1,1
Becir Omeragic,SUI,"DF,MF",Ligue 1,22,27,25,2222,0,0,0,0
Ben Brereton,CHI,"FW,MF",Premier League,25,1314,132,1306,60,10,10,10
Ben Chilwell,ENG,DF,Premier League,27,13,9,756,0,1,0,0
Ben Davies,WAL,DF,Premier League,31,17,12,1090,1,0,0,0
Ben Doak,SCO,FW,Premier League,18,1,0,14,0,0,0,0
Ben Godfrey,ENG,DF,Premier League,26,15,13,1120,0,0,0,0
Ben Johnson,ENG,"DF,FW",Premier League,24,14,4,544,0,0,0,0
Ben Mee,ENG,DF,Premier League,34,16,15,1272,2,0,0,0
Ben Osborn,ENG,"DF,MF",Premier League,29,23,13,1363,0,2,0,0
Ben Parkinson,ENG,FW,Premier League,19,1,0,25,0,0,0,0
Ben White,ENG,DF,Premier League,26,36,34,2920,4,4,0,0
Benedict Hollerbach,GER,"FW,MF",Bundesliga,23,28,15,1282,5,0,0,0
Benedikt Gimber,GER,DF,Bundesliga,27,24,24,2021,1,1,0,0
Benicio Boaitey,ENG,"FW,DF",Premier League,20,5,0,40,0,0,0,0
Benito Ramírez,ESP,"FW,MF",La Liga,28,19,2,351,1,0,0,0
Benjamin André,FRA,MF,Ligue 1,33,29,28,2480,3,0,0,0
Benjamin Bourigeaud,FRA,"MF,FW",Ligue 1,30,31,28,2353,9,6,7,7
Benjamin Henrichs,GER,DF,Bundesliga,27,33,28,2526,1,5,0,0
Benjamin Lecomte,FRA,GK,Ligue 1,33,30,30,2700,0,1,0,0
Benjamin Mendy,FRA,DF,Ligue 1,29,14,6,692,2,1,0,0
Benjamin Pavard,FRA,DF,Serie A,28,22,20,1582,0,2,0,0
Benjamin Stambouli,FRA,MF,Ligue 1,33,7,3,286,0,1,0,0
Benjamin Tetteh,GHA,"FW,MF",Ligue 1,26,12,1,278,0,0,0,0
Benjamin Šeško,SVN,FW,Bundesliga,20,31,17,1526,14,2,0,0
Bennit Bröger,GER,FW,Bundesliga,17,1,0,11,0,0,0,0
Benno Schmitz,GER,DF,Bundesliga,29,22,13,1155,0,1,0,0
Benoît Badiashile,FRA,DF,Premier League,23,17,14,1248,0,1,0,0
Benoît Costil,FRA,GK,Serie A,36,13,13,1170,0,0,0,0
Benson Manuel,BEL,"MF,FW",Premier League,27,8,1,116,0,0,0,0
Berat Djimsiti,ALB,DF,Serie A,31,35,31,2755,0,1,0,0
Berkan Kutlu,TUR,MF,Serie A,26,6,0,199,0,0,0,0
