,Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists_x,Penalty_made,Penalty_attempted,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists_y,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
53,Adrià Pedrosa,ESP,DF,La Liga,26.0,30,14,1663,1,4,0,0,Sevilla,1100000.0,0.05,0.64,0.18,2.18,45.77,0.728,3.04,1.95,0.68,1.04,5.95,2.23,0.86,1.04,2.68,0.5,,,,,,,,,,,
54,Adryelson,BRA,"DF,FW",Ligue 1,26.0,2,0,6,0,0,0,0,Lyon,,0.04,0.43,0.04,0.47,47.47,0.852,1.76,0.04,0.0,0.97,0.11,1.22,1.76,1.08,5.72,2.88,,,,,,,,,,,
55,Adson,BRA,"FW,MF",Ligue 1,23.0,8,2,238,0,0,0,0,Vasco da Gama,900000.0,0.1,1.4,0.1,4.69,44.8,0.813,6.19,4.79,3.29,3.39,7.98,3.59,0.7,2.0,0.4,0.7,,,,,,,,,,,
56,Adu Ares,ESP,FW,La Liga,22.0,12,2,265,0,0,0,0,Athletic Club,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
57,Agustín Martegani,ARG,MF,Serie A,24.0,18,6,731,1,0,0,0,Salernitana,350000.0,0.12,1.85,0.0,2.34,36.57,0.835,3.45,1.72,1.48,1.11,2.71,1.6,0.49,0.49,0.86,0.74,,,,,,,,,,,
58,Ahmed Touba,ALG,DF,Serie A,26.0,6,3,277,0,0,0,0,Lecce,280000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
59,Aiham Ousou,SYR,DF,La Liga,24.0,6,5,430,0,0,0,0,Cádiz,,0.0,0.62,0.0,1.14,47.97,0.833,2.81,0.94,0.31,0.62,0.31,1.66,0.94,1.04,3.02,1.46,,,,,,,,,,,
60,Aihen Muñoz,ESP,DF,La Liga,26.0,21,11,1127,0,2,0,0,Real Sociedad,860000.0,0.0,0.56,0.15,1.67,58.06,0.748,4.45,1.82,0.76,0.51,2.53,2.58,0.71,1.26,2.58,1.57,,,,,,,,,,,
61,Aimar Oroz,ESP,MF,La Liga,22.0,32,25,2260,2,1,1,1,Osasuna,,0.0,0.81,0.07,2.89,39.98,0.812,4.19,2.15,1.16,2.43,5.03,1.76,0.7,1.2,0.39,0.7,,,,,,,,,,,
62,Ainsley Maitland-Niles,ENG,"MF,DF",Ligue 1,26.0,23,16,1432,1,4,1,1,Lyon,2200000.0,0.0,1.07,0.25,2.01,49.59,0.832,4.72,1.64,1.01,2.58,5.16,2.14,1.07,1.01,1.83,1.13,,,,,,,,,,,
63,Aitor Fernández,ESP,GK,La Liga,33.0,6,5,461,0,0,0,0,Osasuna,700000.0,,,,,,0.0,,,,,,,,,,,1.26,7.14,0.0,2.86,36.08,5.81,4.63,53.5,0.3,1.83,20.6
64,Aitor Paredes,ESP,DF,La Liga,24.0,33,30,2614,1,0,0,0,Athletic Club,,0.03,0.46,0.0,0.49,52.59,0.865,3.43,0.18,0.06,0.79,0.06,0.67,1.12,0.82,3.4,2.1,,,,,,,,,,,
65,Aitor Ruibal,ESP,"DF,FW",La Liga,28.0,18,11,1017,2,1,0,0,Real Betis,600000.0,0.18,1.22,0.06,2.93,53.13,0.791,4.83,2.02,2.02,2.26,4.52,3.36,1.22,0.98,2.32,0.24,,,,,,,,,,,
66,Akor Adams,NGA,FW,Ligue 1,24.0,32,27,2252,8,1,0,0,Montpellier,,0.33,3.23,0.04,1.7,15.44,0.643,0.7,1.61,0.58,4.55,5.13,0.5,0.21,0.33,0.46,2.19,,,,,,,,,,,
67,Alaa Bellaarouch,MAR,GK,Ligue 1,22.0,15,15,1350,0,0,0,0,Strasbourg,640000.0,,,,,,0.0,,,,,,,,,,,1.71,6.14,3.33,1.43,36.07,3.55,3.5,34.3,0.97,1.5,13.7
68,Alan Matturro,URU,DF,Serie A,19.0,5,1,92,0,0,0,0,Genoa,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
69,Alan Virginius,FRA,FW,Ligue 1,21.0,16,13,1005,0,2,0,0,Clermont Foot,270000.0,0.0,0.78,0.19,2.05,20.06,0.655,1.95,1.75,1.17,3.7,5.94,0.58,0.29,0.68,0.49,0.39,,,,,,,,,,,
70,Alassane Pléa,FRA,"FW,MF",Bundesliga,31.0,27,24,1913,7,4,1,1,Mönchengladbach,4720000.0,0.29,2.58,0.19,3.78,37.28,0.699,5.54,2.68,1.0,4.11,7.41,0.76,0.14,0.53,0.29,0.72,,,,,,,,,,,
71,Alban Lafont,FRA,GK,Ligue 1,25.0,28,28,2496,0,0,0,0,Nantes,1500000.0,,,,,,0.0,,,,,,,,,,,1.48,7.11,0.0,2.76,38.0,3.51,6.15,48.3,0.84,1.14,12.9
72,Albert Guðmundsson,ISL,"FW,MF",Serie A,26.0,34,33,2926,14,3,4,5,Genoa,1540000.0,0.31,1.52,0.09,4.31,36.5,0.752,3.63,2.33,1.24,2.05,4.99,0.68,0.34,0.47,0.4,0.09,,,,,,,,,,,
73,Albert Sambi Lokonga,BEL,MF,Premier League,24.0,17,16,1303,1,3,0,0,Luton Town,3021160.0,0.07,0.59,0.22,1.93,53.12,0.877,4.82,2.08,0.82,0.82,0.89,2.15,0.74,1.71,1.04,0.96,,,,,,,,,,,
74,Alberto Cerri,ITA,FW,Serie A,28.0,12,10,545,1,0,0,0,Empoli,1020000.0,0.17,1.74,0.0,1.4,22.15,0.512,1.4,0.52,0.17,3.14,4.01,0.52,0.52,0.52,1.22,6.8,,,,,,,,,,,
75,Alberto Dadie,ESP,MF,La Liga,21.0,1,0,28,0,0,0,0,Real Sociedad,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
76,Alberto Dossena,ITA,DF,Serie A,25.0,35,33,2977,2,4,0,0,Cagliari,740000.0,0.06,0.75,0.09,0.81,39.56,0.8,2.68,0.25,0.16,1.06,0.06,1.71,1.31,1.56,5.3,3.43,,,,,,,,,,,
77,Alberto Grassi,ITA,MF,Serie A,29.0,27,22,1807,0,1,0,0,Empoli,1300000.0,0.0,1.19,0.05,1.28,43.26,0.813,3.48,0.73,0.32,0.96,0.73,1.33,1.83,1.33,2.06,1.28,,,,,,,,,,,
78,Alberto Marí,ESP,FW,La Liga,22.0,15,1,200,0,1,0,0,Valencia,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
79,Alberto Moleiro,ESP,"FW,MF",La Liga,20.0,27,20,1713,3,3,0,0,Las Palmas,190000.0,0.12,1.46,0.18,2.86,37.17,0.783,3.62,4.09,2.81,2.75,9.29,0.82,0.41,0.58,0.58,0.06,,,,,,,,,,,
80,Alberto Moreno,ESP,DF,La Liga,31.0,27,17,1484,2,2,0,0,Villarreal,1400000.0,0.1,1.11,0.19,2.12,46.81,0.81,3.72,1.98,0.43,1.59,5.07,1.93,1.21,0.82,1.98,0.58,,,,,,,,,,,
81,Alberto Perea,ESP,"FW,MF",La Liga,33.0,2,0,2,0,0,0,0,Anorthosis,720000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
82,Alberto Risco,ESP,MF,La Liga,18.0,3,0,67,0,0,0,0,Getafe,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
83,Alberto Soro,ESP,MF,La Liga,25.0,1,0,8,0,0,0,0,FC Vizela,580000.0,0.4,1.79,0.1,2.49,31.4,0.756,4.49,1.5,0.5,3.19,6.38,2.09,0.1,1.0,0.8,1.1,,,,,,,,,,,
84,Aleix García,ESP,MF,La Liga,26.0,36,35,3109,3,6,0,0,Girona,720000.0,0.09,1.05,0.18,3.71,81.56,0.869,8.15,1.52,0.38,0.47,1.4,1.31,1.02,1.29,1.49,0.47,,,,,,,,,,,
85,Alejandro Balde,ESP,DF,La Liga,20.0,18,15,1378,0,1,0,0,Barcelona,1670000.0,0.0,0.47,0.05,1.75,57.83,0.858,3.35,5.48,1.51,2.93,9.31,1.46,0.28,0.9,1.32,0.66,,,,,,,,,,,
86,Alejandro Garnacho,ARG,FW,Premier League,19.0,36,30,2565,7,4,0,0,Manchester United,,0.25,3.47,0.12,4.15,30.95,0.755,2.19,5.84,1.59,8.62,9.74,0.84,0.75,1.0,0.59,0.22,,,,,,,,,,,
87,Alejandro Jiménez,ESP,DF,Serie A,19.0,3,0,68,0,0,0,0,Milan,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
88,Alejandro Pozo Pozo,ESP,"MF,DF",La Liga,25.0,21,9,976,0,0,0,0,Almería,720000.0,0.0,0.36,0.0,2.48,51.7,0.73,3.93,1.75,0.29,1.02,4.95,1.67,0.66,1.09,2.04,0.58,,,,,,,,,,,
89,Alejo Véliz,ARG,FW,Premier League,20.0,13,0,84,1,0,0,0,Sevilla,,0.48,3.46,0.0,2.5,16.09,0.622,1.43,0.36,0.12,4.17,4.17,0.36,0.24,0.72,1.91,5.36,,,,,,,,,,,
90,Aleksandar Mitrović,SRB,FW,Premier League,29.0,1,0,33,0,0,0,0,Al-Hilal,4867655.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
91,Aleksandar Pavlovic,GER,MF,Bundesliga,20.0,19,14,1227,2,2,0,0,Bayern Munich,,0.13,0.51,0.13,2.76,73.03,0.925,7.97,1.03,0.45,0.58,1.09,1.86,1.22,1.16,1.03,0.9,,,,,,,,,,,
92,Aleksandar Radovanović,SRB,DF,La Liga,30.0,8,7,503,0,0,0,0,Almería,300000.0,0.0,0.18,0.0,0.36,31.15,0.93,0.91,0.0,0.0,0.36,0.18,1.09,1.82,1.46,7.83,2.37,,,,,,,,,,,
93,Aleksandar Sedlar,SRB,DF,La Liga,32.0,11,11,946,1,0,0,0,Alavés,730000.0,0.1,0.38,0.0,0.86,38.53,0.847,2.47,0.57,0.19,0.57,0.1,1.33,1.24,0.76,4.09,1.62,,,,,,,,,,,
94,Aleksandr Golovin,RUS,"FW,MF",Ligue 1,27.0,25,25,2147,6,6,0,0,Monaco,4800000.0,0.24,1.77,0.24,4.37,50.98,0.752,7.2,2.12,0.98,1.97,6.57,1.81,0.83,1.46,0.55,0.51,,,,,,,,,,,
95,Aleksei Miranchuk,RUS,"FW,MF",Serie A,28.0,25,12,1124,3,5,0,0,Atalanta,2780000.0,0.16,2.34,0.44,5.01,41.54,0.725,4.79,2.56,0.98,3.59,7.89,0.98,0.27,0.54,0.44,0.49,,,,,,,,,,,
