Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Johan Gastien,Clermont Foot,540000,0.04,0.51,0,2.44,67.68,0.828,6.77,0.8,0.29,0.33,0.95,1.78,1.49,1.31,0.91,0.62,,,,,,,,,,,
Federico Gatti,Juventus,2590000,0.12,1.15,0,0.97,46.44,0.847,4.15,1.7,0.36,1.58,1.33,1.09,0.67,0.91,3.09,1.79,,,,,,,,,,,
Federico Gattoni,Anderlecht,420000,0,0.65,0,0.33,43.28,0.917,2.12,0,0,1.31,0,1.8,1.31,1.47,3.27,1.14,,,,,,,,,,,
Gavi,Barcelona,6800000,0.2,0.98,0.13,2.22,50.54,0.908,3.78,2.48,1.04,1.96,3.78,2.93,0.59,1.37,1.43,0.91,,,,,,,,,,,
Paulo Gazzaniga,Girona,1240000,,,,,,0,,,,,,,,,,,1.3,7.42,2,2.75,39.1,2.5,6.6,43.8,0.76,0.93,13.7
Yann Gboho,Toulouse,400000,0.21,1.56,0.14,3.2,20.24,0.737,3.69,4.97,2.27,5.19,6.89,1.21,0.36,1.7,0.14,0.5,,,,,,,,,,,
Dennis Geiger,Hoffenheim,2160000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Gelabert,Toulouse,230000,0.09,1.99,0.28,2.74,42.11,0.787,4.45,1.61,1.42,3.69,5.96,1.61,0.47,0.76,0.95,0.95,,,,,,,,,,,
Francesco Gelli,Frosinone,,0,0.58,0,2.81,42.92,0.816,3.45,2.46,0.76,1.4,5.03,1.05,0.64,1.11,1.58,0.82,,,,,,,,,,,
Luca Gemello,Torino,170000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
