position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
"FW,MF",Serie A,28.0,25,12,1124,3,2780000.0,0.16,2.34,0.44,5.01,41.54,0.725,4.79,2.56,0.98,3.59,7.89,0.98,0.27,0.54,0.44,0.49,-0.1817345838594364
DF,Serie A,25.0,27,27,2205,1,10190000.0,0.03,0.56,0.09,2.17,73.99,0.859,4.9,2.05,0.41,1.14,2.55,1.58,0.88,1.0,2.14,1.5,-0.1817345838594364
DF,Serie A,24.0,28,28,2437,3,1480000.0,0.1,0.48,0.03,0.86,43.9,0.848,2.29,0.51,0.0,0.75,0.41,2.36,2.53,0.72,4.66,2.91,-0.1817345838594364
MF,Serie A,28.0,25,17,1465,0,740000.0,0.0,1.23,0.0,1.54,28.94,0.688,3.5,0.49,0.18,1.17,1.11,1.84,0.49,0.92,1.97,1.97,-0.1817345838594364
"MF,DF",Serie A,24.0,13,2,356,0,280000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,33.0,30,18,1642,1,5560000.0,0.04,1.71,0.27,3.91,67.56,0.821,5.43,1.71,0.18,0.76,2.42,2.29,1.03,0.99,1.48,0.45,-0.1817345838594364
DF,Serie A,25.0,18,12,999,0,190000.0,0.0,0.45,0.09,1.98,49.82,0.785,4.14,0.72,0.27,0.81,1.08,1.71,2.34,1.35,2.88,2.16,-0.1817345838594364
DF,Serie A,23.0,154,80,802,0,740000.0,0.0,0.25,0.25,2.17,44.08,0.755,3.26,2.76,0.84,1.51,4.35,1.59,0.42,1.34,2.09,0.59,-0.1817345838594364
DF,Serie A,29.0,28,25,2321,0,5560000.0,0.03,0.55,0.03,0.43,64.63,0.917,3.01,0.2,0.0,0.72,0.09,0.87,1.01,1.1,4.08,2.43,-0.1817345838594364
"DF,FW",Serie A,25.0,117,71,764,0,330000.0,0.0,1.18,0.11,3.31,36.02,0.763,2.35,2.46,1.71,2.89,7.16,2.57,0.53,1.82,0.43,0.32,-0.1817345838594364
"FW,MF",La Liga,22.0,33,32,2517,2,2000000.0,0.12,2.42,0.46,5.22,43.27,0.711,5.72,2.89,0.89,3.64,6.21,1.18,0.58,0.64,0.58,0.29,0.1102947928615624
