position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
DF,Premier League,28.0,13,9,777,1,3021160.0,0.19,0.47,0.0,1.41,53.13,0.784,4.8,2.35,1.03,1.03,3.67,2.73,2.16,1.41,3.67,0.85,-0.1817345838594364
DF,Bundesliga,27.0,27,24,2185,5,540000.0,0.25,1.09,0.04,1.01,42.16,0.775,3.7,0.42,0.21,2.65,0.59,1.6,1.3,1.3,4.38,4.5,-0.1817345838594364
DF,Bundesliga,29.0,17,11,1097,0,1500000.0,0.0,0.25,0.0,1.34,59.47,0.861,4.43,0.75,0.59,0.42,0.67,2.84,1.42,2.01,3.26,2.01,-0.1817345838594364
FW,Bundesliga,33.0,1813,147,1878,41,720000.0,0.19,2.39,0.04,2.36,24.53,0.628,3.01,0.89,0.31,4.87,6.37,0.7,0.42,0.89,1.35,6.06,-0.1817345838594364
DF,Serie A,28.0,61,31,399,0,1850000.0,0.0,0.0,0.0,0.69,62.94,0.884,2.35,0.41,0.69,0.14,0.28,1.66,0.69,0.69,3.87,1.24,-0.1817345838594364
DF,Ligue 1,25.0,30,30,2655,1,1500000.0,0.03,0.79,0.0,1.15,56.4,0.88,4.4,0.97,0.37,0.92,0.13,0.76,0.73,1.39,3.87,2.04,-0.1817345838594364
MF,Premier League,32.0,17,14,1131,4,24169284.0,0.36,3.14,0.83,6.34,68.55,0.732,7.76,3.32,0.89,5.98,9.3,1.19,0.3,0.47,0.3,0.41,-0.1817345838594364
MF,Bundesliga,33.0,26,14,1363,1,2500000.0,0.05,0.42,0.11,2.89,64.91,0.913,5.58,2.1,0.68,0.68,1.53,1.53,0.89,1.26,1.1,0.21,-0.1817345838594364
DF,Bundesliga,29.0,25,22,2047,0,2420000.0,0.0,0.18,0.09,2.51,44.85,0.631,3.69,3.08,1.28,1.36,4.66,2.24,1.06,1.28,2.11,1.14,-0.1817345838594364
"FW,MF",Bundesliga,21.0,28,15,1432,3,900000.0,0.13,1.2,0.0,2.91,37.75,0.773,3.36,2.22,1.01,2.28,7.35,2.72,1.46,1.71,1.71,0.57,-0.1817345838594364
"FW,MF",Premier League,22.0,10,3,316,2,604232.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Bundesliga,23.0,30,7,1011,3,120000.0,0.19,2.38,0.0,3.71,39.58,0.731,4.47,2.66,1.05,2.57,4.28,1.43,0.38,1.14,1.62,1.33,-0.1817345838594364
MF,Serie A,34.0,25,14,1113,0,2560000.0,0.0,0.08,0.16,2.99,51.27,0.812,4.53,0.97,0.32,0.65,1.62,2.75,0.4,1.54,1.7,0.57,-0.1817345838594364
MF,Bundesliga,30.0,32,32,2668,7,720000.0,0.13,2.38,0.36,7.28,67.21,0.667,9.6,2.68,0.78,1.73,4.47,1.8,0.65,1.57,0.59,0.26,2.2317403317104554
DF,Bundesliga,32.0,1616,1614,2642,0,1100000.0,0.0,0.1,0.0,1.12,57.03,0.875,4.26,0.58,0.2,0.27,0.44,0.82,0.55,1.29,4.29,0.75,-0.1817345838594364
"FW,MF",Bundesliga,31.0,26,17,1345,3,2400000.0,0.11,1.99,0.23,2.85,26.41,0.608,3.07,0.8,0.34,3.02,6.26,1.54,0.34,0.63,0.68,1.59,1.317032250646508
DF,La Liga,31.0,11,9,630,0,600000.0,0.0,0.26,0.0,0.9,46.48,0.74,3.22,0.77,0.39,0.52,2.45,2.45,0.52,1.42,3.22,1.29,-0.1817345838594364
FW,Serie A,23.0,33,31,2647,11,1540000.0,0.26,3.63,0.18,5.19,41.74,0.804,3.5,6.23,3.45,6.07,9.11,1.35,0.42,0.65,0.29,0.39,-0.1817345838594364
MF,Ligue 1,23.0,26,24,2018,1,870000.0,0.04,1.74,0.04,3.52,48.52,0.862,4.5,2.99,1.47,1.92,2.54,1.83,0.76,0.89,1.52,0.85,-0.1817345838594364
"FW,MF",Premier League,31.0,8,0,108,1,911708.0,0.55,3.39,0.08,2.53,24.63,0.58,2.29,0.79,0.47,7.11,6.39,0.87,0.24,0.71,1.18,6.87,-0.1817345838594364
DF,La Liga,26.0,18,12,1092,0,6670000.0,0.0,0.4,0.16,1.37,63.69,0.753,5.65,1.86,0.4,0.81,3.39,2.83,1.05,1.78,3.15,1.45,-0.1817345838594364
DF,Premier League,33.0,27,26,2226,1,7250785.0,0.03,0.36,0.36,3.77,82.73,0.761,6.73,1.65,0.57,1.32,5.09,2.13,0.93,1.53,2.21,1.05,-0.1817345838594364
"FW,MF",La Liga,27.0,16,3,303,0,420000.0,0.0,1.3,0.19,3.71,32.1,0.699,2.23,4.64,2.78,3.9,11.13,1.67,0.37,0.93,0.56,0.74,-0.1817345838594364
"FW,MF",La Liga,27.0,23,9,822,1,420000.0,0.09,1.21,0.0,2.98,40.29,0.759,4.76,1.87,1.03,1.4,4.94,3.08,0.84,1.03,1.03,1.03,-0.1817345838594364
DF,La Liga,33.0,22,15,1493,0,1000000.0,0.0,0.14,0.05,1.62,61.24,0.841,5.29,2.6,0.42,0.6,3.06,1.95,1.9,1.25,2.37,0.65,-0.1817345838594364
"FW,MF",La Liga,34.0,33,15,1423,3,650000.0,0.19,3.46,0.13,2.58,19.25,0.667,2.01,1.2,1.01,6.73,6.29,0.57,0.06,1.07,0.75,3.02,0.1102947928615624
"MF,DF",Bundesliga,23.0,6,4,291,0,870000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,22.0,27,20,1806,0,320000.0,0.04,0.52,0.04,1.8,58.99,0.738,3.7,1.38,0.71,1.23,3.67,2.09,0.97,1.53,2.84,1.5,-0.1817345838594364
DF,Bundesliga,27.0,25,22,1970,1,12000000.0,0.03,0.39,0.03,1.07,93.66,0.928,5.41,0.65,0.06,0.71,0.1,1.62,2.04,1.42,3.14,2.82,-0.1817345838594364
FW,Bundesliga,27.0,17,15,1113,3,17000000.0,0.32,2.59,0.16,4.59,49.94,0.805,5.38,5.91,2.8,6.86,16.36,0.84,0.16,1.16,0.37,0.74,-0.1817345838594364
DF,Serie A,28.0,21,9,844,0,900000.0,0.0,1.92,0.11,2.13,24.1,0.686,1.6,1.81,1.07,2.88,4.16,1.92,0.64,1.92,3.52,1.17,-0.1817345838594364
MF,La Liga,28.0,35,34,3031,6,830000.0,0.18,1.16,0.06,2.3,86.24,0.887,8.32,1.22,0.64,0.55,2.33,1.41,0.7,1.04,0.61,0.58,-0.1817345838594364
"MF,DF",Bundesliga,34.0,22,17,1363,0,800000.0,0.0,0.56,0.0,0.99,50.52,0.826,4.93,0.56,0.21,0.77,0.49,2.81,1.27,1.83,2.96,2.32,-0.1817345838594364
"MF,DF",Bundesliga,27.0,20,18,1596,3,1890000.0,0.16,1.17,0.0,0.91,54.72,0.88,2.4,0.8,0.27,1.6,0.48,2.03,1.17,1.81,3.47,2.08,-0.1817345838594364
DF,Serie A,31.0,13,8,759,0,1150000.0,0.0,0.21,0.0,0.62,52.06,0.865,2.06,0.41,0.31,0.1,0.31,1.65,1.03,1.34,2.68,1.13,-0.1817345838594364
DF,Ligue 1,25.0,13,10,860,0,780000.0,0.0,0.52,0.21,1.36,41.97,0.791,3.03,1.05,0.84,0.84,3.03,2.09,1.36,0.94,3.98,1.36,-0.1817345838594364
MF,La Liga,32.0,33,30,2333,0,6670000.0,0.0,0.36,0.13,2.16,80.8,0.898,6.96,0.86,0.36,0.39,0.99,2.11,0.55,1.22,1.17,0.44,-0.1817345838594364
FW,Ligue 1,28.0,6,1,159,0,300000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Bundesliga,26.0,29,18,1772,0,9000000.0,0.07,0.76,0.14,2.97,66.22,0.876,5.77,3.08,1.24,2.18,4.39,3.35,1.0,2.11,0.97,0.55,-0.1817345838594364
DF,Premier League,26.0,18,15,1410,1,3021160.0,0.04,0.85,0.0,0.66,45.83,0.821,3.72,0.89,0.31,1.24,0.19,1.24,1.59,1.24,4.45,2.48,-0.1817345838594364
DF,Serie A,32.0,7,6,469,0,930000.0,0.0,0.19,0.0,0.38,54.5,0.912,1.92,0.0,0.19,0.38,0.38,1.73,0.38,1.92,3.65,3.84,-0.1817345838594364
DF,Premier League,28.0,13,8,679,0,4531741.0,0.0,0.47,0.23,3.21,74.5,0.796,5.17,3.44,0.63,1.72,7.75,2.43,1.17,1.1,1.64,0.39,-0.1817345838594364
MF,Serie A,25.0,32,28,2251,6,770000.0,0.23,1.63,0.04,2.92,36.77,0.737,4.98,1.05,0.54,2.8,3.35,1.4,0.89,0.93,1.28,1.98,-0.1817345838594364
MF,Bundesliga,27.0,144,131,1251,20,1040000.0,0.14,1.01,0.07,1.58,44.17,0.796,4.82,1.01,0.43,1.01,1.37,2.23,1.58,1.01,1.22,1.3,-0.1817345838594364
MF,Serie A,22.0,22,6,764,1,1030000.0,0.08,1.68,0.17,2.02,78.8,0.893,3.96,0.51,0.59,0.25,1.01,0.93,1.09,1.01,1.01,0.34,-0.1817345838594364
DF,Premier League,26.0,28,21,1832,2,2416928.0,0.1,0.59,0.05,1.33,39.79,0.753,3.0,1.08,0.49,2.85,1.52,1.87,1.23,1.28,3.88,3.1,-0.1817345838594364
"DF,FW",Ligue 1,25.0,25,11,1144,0,3000000.0,0.0,0.68,0.08,3.04,56.83,0.764,5.78,3.2,2.05,1.75,7.15,2.74,1.14,1.29,1.67,2.28,-0.1817345838594364
DF,Premier League,29.0,32,31,2748,3,7552901.0,0.09,0.46,0.0,0.4,36.14,0.835,1.6,0.2,0.06,0.97,0.06,0.77,0.94,1.17,5.14,1.97,-0.1817345838594364
DF,Premier League,33.0,31,29,2677,0,10574062.0,0.0,0.51,0.1,1.98,77.98,0.887,5.17,2.33,0.71,1.19,5.0,1.17,0.74,0.51,1.17,0.84,-0.1817345838594364
FW,Ligue 1,25.0,29,24,2158,27,72000000.0,0.72,4.36,0.21,4.41,38.02,0.82,4.93,5.11,2.62,8.65,12.08,0.18,0.15,0.18,0.08,0.1,4.0225365429374
"FW,MF",Ligue 1,37.0,27,15,1346,4,1400000.0,0.19,1.85,0.13,3.5,31.57,0.813,2.93,1.78,0.45,3.37,5.66,0.64,0.19,0.57,0.45,0.25,1.0250028739255097
MF,Ligue 1,28.0,22,17,1514,0,840000.0,0.0,0.42,0.12,1.25,34.89,0.787,3.63,0.65,0.24,0.48,0.18,1.84,1.55,0.89,2.2,1.43,-0.1817345838594364
"FW,MF",Ligue 1,28.0,28,20,1840,1,410000.0,0.05,1.03,0.1,1.81,26.66,0.571,1.37,3.18,1.52,2.05,6.95,1.42,0.54,0.68,1.52,0.49,-0.1817345838594364
"FW,MF",La Liga,23.0,29,16,1555,3,150000.0,0.17,2.35,0.28,3.41,19.42,0.597,2.41,3.41,1.85,3.47,5.93,0.73,1.9,1.01,0.78,0.34,-0.1817345838594364
MF,Serie A,28.0,26,23,1947,0,510000.0,0.0,0.65,0.08,1.63,39.02,0.845,3.88,1.55,0.82,0.98,1.63,2.12,0.82,1.1,1.18,1.18,-0.1817345838594364
MF,Ligue 1,31.0,32,31,2770,1,720000.0,0.03,0.77,0.03,2.26,58.72,0.852,6.23,1.19,1.42,0.33,1.54,2.52,1.9,0.95,1.87,0.45,-0.1817345838594364
DF,Serie A,30.0,7,7,630,1,1390000.0,0.14,0.43,0.0,0.43,42.86,0.877,0.57,0.29,0.14,0.71,0.0,1.29,2.71,1.43,5.57,1.14,-0.1817345838594364
FW,Serie A,26.0,32,30,2566,24,11110000.0,0.66,3.81,0.13,3.28,24.93,0.764,2.81,1.81,0.76,5.99,5.78,0.81,0.58,1.0,0.34,1.34,1.317032250646508
DF,Ligue 1,31.0,1,0,9,0,6000000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Serie A,22.0,32,26,2192,5,510000.0,0.18,2.16,0.07,4.61,38.59,0.755,3.33,2.34,1.76,1.1,3.41,1.39,0.4,0.95,0.99,0.51,-0.1817345838594364
MF,Premier League,29.0,83,10,143,10,5560000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Bundesliga,24.0,31,29,2606,4,1680000.0,0.13,1.27,0.03,2.0,31.68,0.734,3.14,0.77,0.5,2.37,1.67,2.2,1.3,1.6,1.97,1.3,-0.1817345838594364
MF,Serie A,29.0,33,31,2563,3,5770000.0,0.0,0.86,0.17,2.64,71.45,0.882,6.88,0.96,0.36,0.31,0.55,1.77,1.17,1.03,1.77,0.38,1.6283716028179829
"FW,MF",Premier League,29.0,33,17,1572,12,5438089.0,0.64,2.88,0.16,3.4,34.5,0.737,3.96,3.2,1.2,5.88,7.52,1.4,0.48,1.16,0.56,0.28,-0.1817345838594364
DF,Bundesliga,29.0,17,11,1075,0,850000.0,0.0,0.86,0.0,3.36,59.46,0.685,3.87,2.07,0.6,0.77,2.32,1.72,0.86,1.46,2.58,0.77,-0.1817345838594364
FW,Ligue 1,28.0,15,5,617,3,840000.0,0.44,2.33,0.0,1.75,17.21,0.729,1.31,1.17,0.58,5.4,3.94,0.73,0.0,0.88,1.6,3.21,-0.1817345838594364
"FW,MF",Bundesliga,31.0,29,24,2113,6,1890000.0,0.25,1.65,0.17,2.96,33.6,0.781,3.5,1.14,0.68,3.88,5.32,1.52,1.18,0.93,1.01,1.31,-0.1817345838594364
"FW,MF",Ligue 1,23.0,22,17,1374,2,7270000.0,0.14,1.66,0.28,4.56,61.11,0.818,7.1,3.5,1.98,3.0,8.39,1.75,0.37,0.6,0.28,0.28,-0.1817345838594364
MF,Bundesliga,24.0,29,27,2284,1,120000.0,0.04,0.57,0.04,0.74,37.49,0.74,2.46,0.12,0.25,0.82,0.7,1.76,0.98,1.27,3.49,2.71,-0.1817345838594364
DF,Serie A,24.0,24,17,1535,1,1540000.0,0.1,0.57,0.0,0.68,71.99,0.877,4.33,0.73,0.16,1.2,0.1,1.36,0.89,0.94,3.76,3.6,-0.1817345838594364
"FW,MF",Premier League,26.0,35,22,2068,10,7250785.0,0.41,2.3,0.37,4.15,33.36,0.716,3.41,4.28,2.47,5.51,9.46,0.66,0.41,0.74,0.29,0.62,-0.1817345838594364
MF,Bundesliga,29.0,30,25,2241,6,18000000.0,0.18,1.98,0.24,2.71,69.11,0.897,6.46,2.5,0.48,2.25,2.19,1.59,1.5,1.86,1.86,1.38,-0.1817345838594364
DF,Ligue 1,25.0,26,25,2181,2,990000.0,0.05,0.42,0.0,0.89,60.83,0.852,4.22,0.57,0.44,0.55,0.16,3.21,2.11,1.36,3.73,2.37,-0.1817345838594364
MF,Bundesliga,30.0,29,19,1578,1,2500000.0,0.05,1.65,0.11,2.47,47.28,0.804,4.83,3.46,0.99,1.81,4.17,2.58,0.66,0.99,0.38,0.33,-0.1817345838594364
DF,Bundesliga,37.0,7,6,460,1,3500000.0,0.0,0.22,0.0,0.66,44.23,0.786,2.87,0.0,0.11,0.33,0.11,0.77,1.1,1.21,4.41,1.32,0.4216341450330366
FW,Serie A,35.0,19,5,628,4,1300000.0,0.57,3.58,0.14,2.01,22.5,0.554,2.29,0.14,0.0,6.02,5.73,0.14,0.0,0.29,1.0,8.17,-0.1817345838594364
DF,Serie A,31.0,24,15,1312,1,5560000.0,0.04,0.5,0.12,2.67,54.68,0.775,3.04,6.12,1.42,2.04,4.29,1.21,0.17,0.92,1.08,0.29,-0.1817345838594364
DF,Bundesliga,22.0,15,6,594,1,190000.0,0.15,0.45,0.0,1.06,55.15,0.846,2.58,0.91,0.15,0.45,3.33,2.27,0.76,1.21,1.97,0.61,-0.1817345838594364
FW,Bundesliga,28.0,27,25,2137,8,20000000.0,0.28,2.95,0.37,5.31,41.88,0.798,4.17,5.05,3.72,5.76,11.41,0.91,0.26,0.54,0.11,0.09,-0.1817345838594364
MF,Premier League,20.0,11,3,274,0,2719044.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,21.0,23,20,1797,1,6042321.0,0.04,0.52,0.13,1.48,60.76,0.836,3.79,1.0,0.44,1.26,1.18,2.22,1.18,1.26,3.23,2.27,-0.1817345838594364
MF,Premier League,27.0,32,31,2696,0,2416928.0,0.0,0.36,0.1,2.46,48.23,0.764,4.59,0.65,0.68,0.29,0.48,1.94,2.04,1.1,1.52,1.32,-0.1817345838594364
DF,Premier League,32.0,33,33,2869,3,4833857.0,0.07,0.99,0.02,1.44,102.21,0.92,4.66,0.92,0.2,1.56,0.37,0.92,0.87,1.51,2.53,1.68,-0.1817345838594364
MF,Serie A,24.0,31,31,2712,6,770000.0,0.28,1.99,0.09,2.68,58.68,0.882,4.58,1.81,0.44,2.77,4.55,1.31,0.59,0.87,0.97,1.15,-0.1817345838594364
MF,Serie A,28.0,1,0,5,0,1480000.0,0.07,1.19,0.3,4.16,47.23,0.72,5.57,1.19,0.22,2.3,7.28,1.26,0.59,0.59,1.04,0.67,-0.1817345838594364
DF,Serie A,23.0,30,17,1822,0,320000.0,0.0,0.67,0.05,2.07,54.08,0.756,3.87,1.3,0.99,0.9,2.61,2.02,0.81,1.21,2.52,0.85,-0.1817345838594364
DF,Ligue 1,24.0,29,29,2587,3,120000.0,0.09,0.47,0.0,0.66,58.88,0.827,3.87,0.63,0.41,0.79,0.16,1.17,1.45,0.91,3.24,1.98,-0.1817345838594364
"MF,DF",Bundesliga,21.0,5,1,106,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Bundesliga,24.0,31,21,1901,1,360000.0,0.05,1.52,0.14,2.58,30.71,0.728,2.81,5.07,1.01,3.92,7.93,0.83,0.28,0.6,0.46,0.0,-0.1817345838594364
DF,Premier League,26.0,10,7,588,0,7250785.0,0.0,0.0,0.13,0.93,60.27,0.927,3.98,1.19,0.53,0.13,0.13,1.46,0.8,1.73,3.32,0.53,-0.1817345838594364
DF,Premier League,25.0,22,17,1552,0,1812696.0,0.0,0.21,0.05,1.61,53.47,0.751,3.33,0.94,0.1,0.57,1.82,1.4,0.94,1.2,4.0,1.51,-0.1817345838594364
DF,Ligue 1,23.0,30,28,2560,1,450000.0,0.03,0.45,0.03,0.85,57.84,0.824,4.54,0.51,0.19,0.94,0.45,1.55,0.77,1.44,4.27,2.0,-0.1817345838594364
DF,Premier League,23.0,1414,1412,2200,11,550000.0,0.1,0.8,0.1,2.56,44.38,0.8,3.5,2.63,0.87,2.11,5.43,2.22,1.07,1.25,2.53,1.0,-0.1817345838594364
FW,Serie A,22.0,25,16,1359,4,560000.0,0.25,2.33,0.06,1.84,17.01,0.693,1.47,1.04,0.74,4.11,4.97,1.04,0.0,1.23,0.98,1.41,-0.1817345838594364
DF,Serie A,35.0,14,6,589,2,1670000.0,0.42,0.69,0.0,0.83,56.77,0.861,3.88,1.25,0.0,0.42,1.11,1.11,0.83,1.25,3.18,1.38,-0.1817345838594364
FW,Serie A,23.0,35,28,2412,8,460000.0,0.3,2.24,0.11,1.64,15.86,0.598,0.6,0.34,0.37,3.32,3.96,0.67,0.11,0.63,1.19,3.32,-0.1817345838594364
MF,Serie A,27.0,27,19,1776,8,6480000.0,0.29,2.16,0.16,3.18,40.06,0.763,3.91,1.81,0.86,2.23,4.13,1.62,0.86,1.37,1.24,0.64,0.4216341450330366
DF,Serie A,22.0,26,23,1942,1,560000.0,0.04,0.7,0.0,0.37,48.28,0.842,2.54,0.66,0.04,0.94,0.37,1.64,1.11,2.05,3.93,2.5,-0.1817345838594364
DF,Serie A,29.0,14,3,364,0,740000.0,0.0,0.57,0.0,2.1,51.78,0.808,2.29,1.34,0.76,0.57,4.39,1.34,0.96,1.15,2.48,0.57,-0.1817345838594364
DF,Ligue 1,22.0,1,1,90,0,130000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Serie A,20.0,31,21,1920,4,380000.0,0.19,1.92,0.14,2.34,33.7,0.655,2.53,3.14,0.66,3.19,6.33,0.8,0.19,0.89,0.75,1.17,-0.1817345838594364
"FW,MF",Bundesliga,26.0,321,250,2122,50,4720000.0,0.16,1.61,0.27,3.8,43.83,0.737,5.25,2.7,1.25,2.94,6.03,1.8,0.47,0.86,0.51,0.39,11.885639993990022
DF,La Liga,24.0,26,25,2109,0,3300000.0,0.0,0.58,0.03,0.72,50.5,0.829,2.77,0.41,0.27,0.96,0.03,2.46,1.5,0.99,4.65,3.11,-0.1817345838594364
"MF,DF",Ligue 1,33.0,28,18,1561,0,400000.0,0.0,1.04,0.17,2.25,36.84,0.753,3.69,1.73,0.75,1.73,5.88,2.13,0.92,0.69,0.98,0.46,-0.1817345838594364
FW,Bundesliga,24.0,34,33,2697,24,5660000.0,0.72,4.06,0.21,2.84,17.26,0.674,1.59,2.71,0.82,6.88,7.12,0.16,0.16,0.56,0.45,0.64,1.317032250646508
DF,Serie A,33.0,29,23,2141,1,1260000.0,0.04,0.35,0.04,0.59,58.28,0.906,2.4,0.39,0.04,0.63,0.35,1.02,1.18,1.22,2.21,1.26,-0.1817345838594364
"MF,DF",Serie A,30.0,12,5,485,0,670000.0,0.0,2.23,0.0,2.78,40.82,0.668,4.27,1.11,0.0,2.23,4.27,1.86,0.74,2.41,1.48,0.56,-0.1817345838594364
DF,Bundesliga,24.0,13,6,635,0,360000.0,0.0,0.0,0.0,0.43,44.93,0.76,1.7,0.99,0.0,0.57,0.14,2.27,0.99,1.7,3.97,1.42,-0.1817345838594364
MF,Serie A,28.0,29,26,2210,5,2590000.0,0.2,2.0,0.0,1.91,53.31,0.744,6.8,0.73,0.45,1.38,2.16,1.83,0.77,0.94,2.52,1.67,-0.1817345838594364
DF,Bundesliga,21.0,30,25,2225,0,2400000.0,0.04,0.74,0.16,2.78,48.56,0.775,3.25,1.84,0.94,1.68,4.07,1.68,0.98,1.37,2.93,1.45,-0.1817345838594364
DF,Serie A,25.0,17,6,651,1,1200000.0,0.1,0.79,0.0,1.77,64.07,0.765,5.52,2.07,1.48,0.49,3.35,1.87,1.28,1.28,2.56,1.38,-0.1817345838594364
"FW,MF",Bundesliga,27.0,24,20,1619,1,600000.0,0.06,2.65,0.22,2.76,23.05,0.701,2.15,0.83,0.39,3.31,4.47,0.61,0.11,0.28,1.16,3.03,-0.1817345838594364
DF,Serie A,25.0,24,21,1885,2,1670000.0,0.09,0.45,0.05,1.04,61.33,0.846,4.41,0.82,0.18,0.73,0.23,0.59,1.27,1.14,2.77,1.91,-0.1817345838594364
"FW,MF",Bundesliga,28.0,22,14,1146,3,3400000.0,0.22,3.21,0.0,3.44,35.33,0.715,3.66,2.24,1.34,2.32,4.93,1.42,0.45,1.42,0.6,0.52,0.1102947928615624
MF,La Liga,25.0,30,21,1911,1,270000.0,0.04,1.12,0.17,2.11,35.32,0.812,4.26,2.71,0.47,2.75,4.04,1.76,0.56,0.99,0.73,0.6,-0.1817345838594364
DF,Ligue 1,20.0,12,11,938,1,3270000.0,0.07,0.33,0.0,0.94,81.18,0.886,3.01,0.33,0.33,0.53,0.2,2.2,1.6,1.2,2.34,2.0,-0.1817345838594364
FW,La Liga,28.0,29,28,2361,6,900000.0,0.31,2.2,0.1,2.92,22.13,0.724,2.27,1.2,1.92,4.36,4.57,1.65,0.34,1.24,1.82,2.1,-0.1817345838594364
DF,Premier League,30.0,32,26,2320,1,7250785.0,0.04,0.77,0.11,2.6,50.01,0.746,2.96,1.68,0.4,2.16,7.35,1.68,0.99,0.77,2.41,1.65,-0.1817345838594364
DF,Ligue 1,28.0,27,23,1909,1,19000000.0,0.07,0.33,0.03,1.15,83.19,0.895,6.38,1.47,0.43,0.79,0.98,2.19,0.98,0.88,1.9,0.98,-0.1817345838594364
"FW,MF",Bundesliga,29.0,33,26,2305,7,520000.0,0.17,1.31,0.09,2.64,28.61,0.675,1.99,0.99,0.48,3.75,5.88,1.25,0.45,0.82,1.16,3.1,0.7136635217540354
DF,Serie A,28.0,27,25,2176,5,1280000.0,0.19,0.93,0.0,1.6,66.21,0.819,7.09,0.74,0.47,1.44,0.55,2.73,1.36,1.67,2.61,1.91,-0.1817345838594364
"FW,MF",La Liga,29.0,33,32,2691,4,1700000.0,0.11,2.14,0.08,2.91,37.57,0.663,3.86,3.5,1.76,4.05,8.33,2.01,0.54,1.19,0.84,2.06,0.4216341450330366
"FW,MF",Premier League,26.0,30,30,2537,4,9063481.0,0.16,1.48,0.19,3.34,54.56,0.747,6.92,1.48,1.56,2.12,4.03,2.57,0.66,0.87,0.85,1.96,1.0250028739255097
DF,Ligue 1,25.0,30,30,2699,0,120000.0,0.0,0.44,0.06,0.47,60.18,0.876,3.71,0.53,0.16,0.82,0.25,1.54,0.97,1.48,3.58,1.54,-0.1817345838594364
MF,La Liga,27.0,31,28,2258,0,1100000.0,0.0,1.35,0.18,2.95,50.06,0.796,4.44,1.42,0.44,0.73,1.71,2.18,1.78,1.78,1.57,1.42,-0.1817345838594364
MF,La Liga,29.0,26,19,1633,0,750000.0,0.05,1.32,0.0,1.18,40.93,0.756,2.69,0.18,0.23,1.46,0.5,1.18,1.73,0.64,2.09,3.78,-0.1817345838594364
MF,Bundesliga,27.0,23,18,1572,0,2600000.0,0.05,1.42,0.09,1.38,28.78,0.718,2.8,0.81,0.52,2.61,1.94,2.04,1.47,1.75,2.09,1.85,-0.1817345838594364
DF,La Liga,32.0,27,13,1312,2,9380000.0,0.1,0.72,0.24,3.85,70.59,0.862,3.61,1.97,1.16,3.9,10.31,2.02,0.53,1.3,1.88,0.19,-0.1817345838594364
MF,La Liga,22.0,101,70,614,0,450000.0,0.0,0.29,0.0,2.35,43.09,0.847,3.81,0.73,1.03,1.03,1.17,2.79,0.88,0.88,0.88,1.32,-0.1817345838594364
FW,Bundesliga,30.0,26,15,1360,2,2160000.0,0.13,1.85,0.0,2.45,29.96,0.706,1.45,0.26,0.13,5.82,6.02,0.2,0.2,0.4,0.73,5.03,0.4023241695825612
"FW,MF",Ligue 1,26.0,28,18,1533,4,2600000.0,0.21,2.83,0.08,2.92,28.57,0.773,3.04,3.5,1.87,4.08,8.66,1.62,0.29,0.79,0.42,0.25,0.7136635217540354
MF,Serie A,31.0,32,29,2292,5,7410000.0,0.17,2.08,0.25,5.03,67.63,0.784,8.94,3.06,0.96,2.11,4.72,1.29,0.45,1.4,0.45,0.31,-0.1817345838594364
FW,Premier League,27.0,36,31,2559,8,3323277.0,0.32,3.02,0.15,5.37,37.04,0.836,3.74,4.5,2.23,7.02,10.09,1.19,0.15,0.52,0.26,0.84,-0.1817345838594364
"DF,FW",Ligue 1,22.0,14,7,696,1,890000.0,0.09,1.1,0.0,2.89,42.66,0.761,3.82,2.97,1.36,2.38,8.5,1.19,1.1,0.85,0.51,0.09,-0.1817345838594364
DF,La Liga,35.0,9,8,723,1,630000.0,0.08,0.08,0.0,1.58,42.63,0.715,3.57,0.33,0.0,0.08,0.25,0.83,1.08,0.58,3.66,1.08,-0.1817345838594364
"FW,MF",La Liga,26.0,13,8,778,4,1500000.0,0.31,3.45,0.1,2.51,18.92,0.757,1.78,2.82,0.94,5.12,5.12,0.63,0.0,1.05,1.25,1.25,0.4216341450330366
MF,La Liga,29.0,26,24,2049,0,780000.0,0.0,0.67,0.13,3.29,52.48,0.784,4.89,1.31,0.46,0.42,1.35,2.44,1.47,0.76,0.46,1.26,-0.1817345838594364
"FW,MF",La Liga,30.0,37,31,2498,5,820000.0,0.07,1.91,0.14,2.92,30.81,0.644,2.78,2.53,1.48,2.24,6.24,0.97,0.58,1.01,1.01,0.36,1.9204009795389807
"FW,MF",Premier League,24.0,20,7,699,2,3927509.0,0.26,3.48,0.26,5.41,37.6,0.774,4.89,6.57,3.73,10.69,10.94,2.96,1.03,2.32,0.52,2.06,-0.1817345838594364
