Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Steven Baseya,FRA,DF,Ligue 1,19,2,0,6,0,0,0,0
Steven Shpendi,ALB,"FW,MF",Serie A,21,12,4,411,0,1,0,0
Stijn Spierings,NED,MF,Ligue 1,28,26,17,1634,0,1,0,0
Stole Dimitrievski,MKD,GK,La Liga,30,37,37,3330,0,0,0,0
Stredair Appuah,FRA,"FW,MF",Ligue 1,19,4,0,84,0,0,0,0
Suat Serdar,GER,MF,Serie A,27,23,17,1479,0,2,0,0
Suso,ESP,"FW,MF",La Liga,30,29,15,1517,1,4,0,0
Sven Botman,NED,DF,Premier League,24,17,15,1377,2,2,0,0
Sven Michel,GER,"FW,MF",Bundesliga,33,22,5,583,2,1,1,2
Sven Ulreich,GER,GK,Bundesliga,35,11,11,990,0,0,0,0
Sydie Peck,ENG,MF,Premier League,19,1,0,10,0,0,0,0
Sydney van Hooijdonk,NED,FW,Serie A,24,9,2,212,0,0,0,0
Szymon Żurkowski,POL,MF,Serie A,26,13,10,868,4,0,0,0
Sávio,BRA,"FW,MF",La Liga,20,36,35,2935,9,9,0,0
Séamus Coleman,IRL,DF,Premier League,35,12,7,665,0,0,0,0
Sébastien Haller,CIV,FW,Bundesliga,29,14,5,396,0,1,0,0
Tadeo Allende,ARG,"FW,MF",La Liga,25,9,2,310,1,0,0,0
Tahith Chong,NED,"FW,MF",Premier League,24,33,20,1982,4,0,0,0
Taiwo Awoniyi,NGA,FW,Premier League,26,20,12,1042,6,3,0,0
Tajon Buchanan,CAN,DF,Serie A,25,9,0,126,1,0,0,0
Takefusa Kubo,JPN,"FW,MF",La Liga,22,29,23,2060,7,4,0,0
Takehiro Tomiyasu,JPN,DF,Premier League,25,22,10,1149,2,1,0,0
Takuma Asano,JPN,"FW,MF",Bundesliga,29,29,26,1986,6,1,0,0
Takumi Minamino,JPN,MF,Ligue 1,29,30,25,2117,9,6,0,0
Tammy Abraham,ENG,FW,Serie A,26,7,1,173,1,0,0,0
Tanguy Coulibaly,FRA,"FW,MF",Ligue 1,23,16,7,623,1,0,0,0
Tanguy Nianzou,FRA,DF,La Liga,21,8,3,318,0,0,0,0
Tariq Lamptey,GHA,"DF,FW",Premier League,23,19,10,914,0,3,0,0
Tawanda Chirewa,ENG,"FW,MF",Premier League,20,8,1,145,0,0,0,0
Teddy Teuma,MLT,MF,Ligue 1,30,28,25,2113,6,3,1,1
Teden Mengi,ENG,DF,Premier League,22,30,28,2469,1,0,0,0
Terem Moffi,NGA,FW,Ligue 1,24,30,23,1949,11,2,3,3
Teun Koopmeiners,NED,MF,Serie A,26,32,27,2447,12,5,2,2
Theo Corbeanu,CAN,"FW,MF",La Liga,22,9,2,182,1,0,0,0
Theo Hernández,FRA,DF,Serie A,26,31,30,2701,5,4,1,2
Therence Koudou,FRA,DF,Ligue 1,19,9,3,314,0,0,0,0
Thiago Alcántara,ESP,MF,Premier League,33,1,0,6,0,0,0,0
Thiago Silva,BRA,DF,Premier League,39,31,28,2527,3,1,0,0
Thibault De Smet,BEL,DF,Ligue 1,25,27,22,1831,0,0,0,0
Thibaut Courtois,BEL,GK,La Liga,32,3,3,270,0,0,0,0
Thierry Correia,POR,DF,La Liga,25,30,24,2075,0,2,0,0
Thijs Dallinga,NED,FW,Ligue 1,23,33,28,2510,14,2,1,3
Thilo Kehrer,GER,DF,Ligue 1,27,19,15,1345,1,1,0,0
Thomas Cannon,IRL,FW,Premier League,21,1,0,1,0,0,0,0
Thomas Delaine,FRA,"MF,DF",Ligue 1,32,27,24,2044,1,1,0,0
Thomas Foket,BEL,DF,Ligue 1,29,27,22,1833,0,1,0,0
Thomas Henry,FRA,FW,Serie A,29,18,2,334,3,0,0,1
Thomas Isherwood,SWE,DF,Bundesliga,26,12,8,636,0,0,0,0
Thomas Kaminski,BEL,GK,Premier League,31,38,38,3405,0,0,0,0
Thomas Keller,GER,"FW,MF",Bundesliga,24,2,0,2,0,0,0,0
Thomas Kristensen,DEN,DF,Serie A,22,25,22,2006,0,1,0,0
Thomas Lemar,FRA,MF,La Liga,28,3,3,164,0,0,0,0
Thomas Meunier,BEL,DF,Bundesliga,32,8,7,586,0,0,0,0
Thomas Müller,GER,"FW,MF",Bundesliga,34,31,20,1654,5,9,0,0
Thomas Partey,GHA,"MF,DF",Premier League,30,14,9,788,0,0,0,0
Thomas Strakosha,ALB,GK,Premier League,29,2,1,135,0,0,0,0
Thorgan Hazard,BEL,DF,Bundesliga,31,1,0,7,0,0,0,0
Théo Le Bris,FRA,"MF,DF",Ligue 1,21,26,15,1516,0,2,0,0
Théo Sainte-Luce,FRA,DF,Ligue 1,25,6,3,346,0,0,0,0
Tiago Fonseca Morais,POR,FW,Ligue 1,20,3,0,46,0,0,0,0
Tiago Tomás,POR,"FW,MF",Bundesliga,21,26,11,1032,1,1,0,0
Tiago santos,POR,DF,Ligue 1,21,29,26,2365,1,2,0,0
Tiemoué Bakayoko,FRA,MF,Ligue 1,29,20,15,1314,2,1,0,0
Tijjani Noslin,NED,"FW,MF",Serie A,24,15,15,1159,4,2,0,0
Tijjani Reijnders,NED,MF,Serie A,25,35,32,2730,3,3,0,0
Tim Breithaupt,GER,MF,Bundesliga,22,16,6,629,0,0,0,0
Tim Drexler,GER,DF,Bundesliga,19,8,6,573,0,0,0,0
Tim Iroegbunam,ENG,MF,Premier League,20,9,1,164,0,0,0,0
Tim Kleindienst,GER,FW,Bundesliga,28,33,33,2869,12,3,2,2
Tim Oermann,GER,DF,Bundesliga,20,16,8,714,0,0,0,0
Tim Ream,USA,DF,Premier League,36,18,17,1503,1,0,0,0
Tim Siersleben,GER,DF,Bundesliga,24,14,10,910,0,0,0,0
Tim Skarke,GER,"DF,FW",Bundesliga,27,30,29,2404,8,0,0,0
Timo Hübers,GER,DF,Bundesliga,27,31,31,2778,0,0,0,0
