Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted,,,,,,,,,
Alex Matos,ENG,MF,Premier League,19,1,0,1,0,0,0,0,,,,,,,,,
Alex Meret,ITA,GK,Serie A,27,30,30,"2,683",0,0,0,0,,,,,,,,,
Alex Murphy,IRL,"DF,FW",Premier League,19,2,0,13,0,0,0,0,,,,,,,,,
Alex Sandro,BRA,DF,Serie A,33,15,7,648,0,0,0,0,,,,,,,,,
Alex Scott,ENG,MF,Premier League,20,22,11,993,1,1,0,0,,,,,,,,,
Alexander Brunst,GER,GK,Bundesliga,28,3,3,270,0,0,0,0,,,,,,,,,
Alexander Isak,SWE,FW,Premier League,24,29,26,"2,175",20,1,5,6,,,,,,,,,
Alexander Meyer,GER,GK,Bundesliga,33,8,7,695,0,0,0,0,,,,,,,,,
Alexander Nübel,GER,GK,Bundesliga,27,30,30,"2,700",0,0,0,0,,,,,,,,,
Alexander Sørloth,NOR,FW,La Liga,28,32,28,"2,383",19,6,0,0,,,,,,,,,
Alexander Schwolow,GER,GK,Bundesliga,31,1,1,90,0,0,0,0,,,,,,,,,
Alexandre Lacazette,FRA,FW,Ligue 1,32,28,26,"2,203",17,2,1,1,,,,,,,,,
Alexandre Oukidja,ALG,GK,Ligue 1,35,33,33,"2,897",0,0,0,0,,,,,,,,,
Alexis Blin,FRA,MF,Serie A,27,30,15,"1,566",0,2,0,0,,,,,,,,,
Alexis Claude-Maurice,FRA,MF,Ligue 1,25,17,3,440,0,0,0,0,,,,,,,,,
Alexis Mac Allister,ARG,MF,Premier League,25,32,30,"2,530",4,5,1,1,,,,,,,,,
Alexis Sánchez,CHI,FW,Serie A,35,21,6,714,2,4,1,1,,,,,,,,,
Alexis Saelemaekers,BEL,"FW,MF",Serie A,24,28,20,"1,790",4,2,0,0,,,,,,,,,
Alexsandro Ribeiro,BRA,DF,Ligue 1,24,28,23,"2,130",0,0,0,0,,,,,,,,,
Alfie Doughty,ENG,DF,Premier League,24,36,33,"2,835",1,8,0,0,,,,,,,,,
Alfie Gilchrist,ENG,DF,Premier League,20,11,2,207,1,0,0,0,,,,,,,,,
Alfonso Espino,URU,DF,La Liga,32,30,28,"2,417",0,1,0,0,,,,,,,,,
Alfonso Pedraza,ESP,DF,La Liga,28,19,14,"1,116",1,3,0,0,,,,,,,,,
Alfred Duncan,GHA,MF,Serie A,31,29,23,"1,812",2,5,0,0,,,,,,,,,
Aliou Badara Baldé,SEN,"FW,DF",Ligue 1,21,6,0,63,0,0,0,0,,,,,,,,,
