position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
DF,La Liga,26.0,1,1,2000000.0,0.06,0.45,0.9,60.02,0.842,4.5,1.61,1.48,1.22,2.06,2.38,0.9,1.48,3.22,1.74,,,,,,,,,,,,-0.3573753679181039,-1.0258068861206997
DF,Serie A,32.0,1,0,1850000.0,0.04,0.29,0.51,69.57,0.893,3.08,0.29,0.04,0.54,0.07,1.96,0.94,1.05,3.01,2.07,,,,,,,,,,,,-0.3573753679181039,0.7427253665675897
DF,La Liga,24.0,1,1,1300000.0,0.09,0.76,2.2,55.83,0.786,4.75,1.66,0.45,1.44,4.66,1.75,0.94,1.44,3.27,1.12,,,,,,,,,,,,-0.3573753679181039,0.5235445243154382
GK,Serie A,30.0,0,0,2960000.0,,,,,0.0,,,,,,,,,,,0.95,7.54,0.0,4.29,35.9,3.02,6.14,51.7,1.05,1.86,16.9,-0.3573753679181039,-1.1814398340466992
FW,La Liga,31.0,3,1,2400000.0,0.29,1.52,1.81,22.93,0.793,1.14,0.67,0.86,2.76,3.9,0.95,0.67,0.86,0.29,0.95,,,,,,,,,,,,-0.3573753679181039,-1.1617846713938154
DF,La Liga,33.0,0,0,600000.0,0.0,0.42,0.31,66.5,0.907,1.89,0.52,0.1,0.84,0.0,1.05,0.94,1.99,5.45,2.1,,,,,,,,,,,,-0.3573753679181039,-1.2782532017186143
GK,La Liga,23.0,0,0,420000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.6125875772245726
DF,La Liga,22.0,1,0,520000.0,0.06,0.45,1.87,50.65,0.823,4.65,1.48,0.71,0.84,2.9,2.52,0.65,1.48,3.29,1.74,,,,,,,,,,,,-0.3573753679181039,0.11105764744681554
"FW,MF",Bundesliga,28.0,7,11,7000000.0,0.27,1.71,5.49,52.61,0.785,4.22,2.92,1.06,2.45,6.67,1.09,0.35,0.91,0.83,0.5,,,,,,,,,,,,-0.3573753679181039,1.5824530554082346
DF,Bundesliga,26.0,0,0,720000.0,0.0,0.64,1.16,54.78,0.84,2.32,0.55,0.35,1.26,0.26,1.8,1.51,2.06,4.64,3.45,,,,,,,,,,,,-0.3573753679181039,2.21622462157623
"FW,MF",Bundesliga,26.0,2,2,550000.0,0.17,1.55,3.95,39.11,0.708,5.07,2.41,1.38,1.98,5.24,0.95,0.95,1.12,0.52,0.09,,,,,,,,,,,,-0.3573753679181039,-0.7425864148829968
DF,Bundesliga,26.0,4,1,2040000.0,0.13,0.78,1.55,56.56,0.853,3.44,2.46,0.98,1.38,5.29,2.29,0.51,1.42,1.85,0.51,,,,,,,,,,,,-0.3573753679181039,0.3574403505397287
MF,Bundesliga,28.0,2,3,3960000.0,0.0,0.47,1.61,49.86,0.887,3.6,0.47,0.41,0.32,0.44,2.18,1.51,1.55,1.96,0.79,,,,,,,,,,,,2.997373388585333,2.1461963952449237
DF,Ligue 1,30.0,0,0,600000.0,0.0,0.54,0.39,51.45,0.87,2.83,0.2,0.05,0.68,0.1,1.17,0.49,1.91,5.37,1.76,,,,,,,,,,,,-0.3573753679181039,0.5005732407280429
DF,Ligue 1,26.0,0,0,480000.0,0.0,0.66,1.64,48.61,0.814,4.76,0.66,0.66,1.15,0.99,4.11,2.14,1.31,4.43,1.97,,,,,,,,,,,,-0.3573753679181039,-1.6362343359736178
MF,Ligue 1,23.0,3,2,390000.0,0.12,1.33,3.32,47.76,0.842,5.98,4.32,1.62,2.16,6.23,1.25,0.71,0.91,0.75,0.42,,,,,,,,,,,,-0.3573753679181039,1.6501066228967334
"FW,MF",Premier League,20.0,0,2,604232.0,0.12,4.42,3.93,31.43,0.711,3.68,5.16,3.07,4.17,6.75,1.47,0.12,1.96,0.49,0.37,,,,,,,,,,,,-0.3573753679181039,-1.7825854487782737
DF,Bundesliga,22.0,1,0,450000.0,0.15,0.45,0.9,54.42,0.81,4.04,1.35,0.9,0.9,1.05,2.69,1.94,1.2,3.89,1.35,,,,,,,,,,,,-0.3573753679181039,-1.7018590715741417
"FW,MF",Premier League,24.0,11,8,6042321.0,0.46,3.46,4.38,43.41,0.811,3.55,2.46,0.86,5.21,6.35,0.86,0.09,0.89,0.46,0.17,,,,,,,,,,,,2.997373388585333,2.3466575347765932
"MF,DF",Bundesliga,23.0,5,3,720000.0,0.28,2.48,2.48,43.58,0.761,3.72,2.66,1.93,4.4,7.25,2.02,0.41,1.33,1.79,1.97,,,,,,,,,,,,-0.3573753679181039,1.3013094254449034
"MF,DF",Serie A,33.0,1,0,3700000.0,0.07,1.83,3.06,30.63,0.738,2.85,2.85,1.29,2.24,7.2,1.9,0.34,0.68,1.77,1.09,,,,,,,,,,,,-0.3573753679181039,-0.6465415958253694
"MF,DF",Serie A,27.0,0,1,1920000.0,0.0,1.11,2.72,45.4,0.792,3.52,2.01,0.6,2.01,3.52,1.11,0.91,0.91,2.32,2.42,,,,,,,,,,,,-0.3573753679181039,-1.1569063270032547
"FW,MF",Ligue 1,31.0,3,7,1200000.0,0.12,1.49,4.44,37.54,0.655,4.69,4.23,1.9,3.33,9.98,1.06,0.4,0.75,0.22,0.65,,,,,,,,,,,,-0.3573753679181039,2.1140141690815053
DF,Premier League,22.0,0,0,5438089.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.810701063686284
"FW,MF",Premier League,25.0,7,1,4833857.0,0.29,2.61,3.03,19.86,0.684,2.52,3.24,1.3,5.13,5.85,1.18,0.38,0.72,0.46,0.55,,,,,,,,,,,,-0.3573753679181039,1.3848541867648456
"FW,MF",Ligue 1,31.0,0,0,660000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1742048891067225
FW,Ligue 1,26.0,4,0,910000.0,0.2,2.62,1.73,20.64,0.653,1.23,2.57,0.84,4.39,6.81,1.09,0.2,0.79,0.54,2.42,,,,,,,,,,,,-0.3573753679181039,0.8692424010826434
DF,Serie A,35.0,0,0,740000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.265033782046809
DF,Bundesliga,31.0,0,1,1500000.0,0.0,0.9,2.49,41.53,0.753,3.69,1.51,0.83,0.9,4.0,2.11,0.38,1.28,2.86,0.9,,,,,,,,,,,,-0.3573753679181039,-0.8351962110743953
"FW,MF",Premier League,33.0,1,3,2114812.0,0.08,1.1,3.84,40.17,0.729,4.32,0.94,0.31,1.88,5.02,1.02,1.26,1.1,1.26,1.1,,,,,,,,,,,,-0.3573753679181039,-0.1699839615844196
FW,La Liga,24.0,13,3,550000.0,0.39,2.54,1.82,19.22,0.688,0.82,1.12,0.97,4.84,5.54,0.67,0.15,0.54,0.58,2.36,,,,,,,,,,,,-0.3573753679181039,2.7389915121736306
"FW,MF",Serie A,19.0,0,0,280000.0,0.0,1.63,3.49,35.85,0.812,2.62,2.72,1.96,2.29,8.28,1.63,0.33,1.31,1.53,2.07,,,,,,,,,,,,-0.3573753679181039,-0.9530270456049774
DF,La Liga,20.0,1,0,640000.0,0.0,0.21,0.53,38.28,0.751,1.8,0.0,0.21,0.32,0.0,0.85,0.74,1.06,6.03,2.75,,,,,,,,,,,,-0.3573753679181039,-1.972304550664647
MF,La Liga,26.0,0,1,1020000.0,0.0,0.63,2.99,28.37,0.711,3.31,2.36,1.26,2.21,4.89,2.05,0.32,0.63,0.95,2.21,,,,,,,,,,,,-0.3573753679181039,-1.667675019295598
DF,La Liga,23.0,0,0,360000.0,0.0,0.58,0.29,41.83,0.817,2.02,0.29,0.14,0.72,0.14,3.03,1.73,1.01,5.48,2.02,,,,,,,,,,,,-0.3573753679181039,-1.9587171231306912
MF,Ligue 1,21.0,6,5,150000.0,0.67,2.69,2.8,52.12,0.865,5.27,2.35,1.23,3.92,4.03,3.03,1.01,1.35,0.9,1.01,,,,,,,,,,,,-0.3573753679181039,-0.6972833696175484
FW,Premier League,27.0,3,4,4833857.0,0.12,1.92,3.53,35.68,0.781,3.77,6.36,2.08,7.14,11.78,0.71,0.47,0.82,0.71,0.63,,,,,,,,,,,,-0.3573753679181039,-0.20441594249962605
"FW,MF",Ligue 1,21.0,0,0,60000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9553920547167216
"FW,MF",Bundesliga,22.0,3,1,5000000.0,0.28,2.03,2.87,27.64,0.733,2.03,4.05,1.8,5.01,7.94,1.29,0.56,0.84,0.51,0.96,,,,,,,,,,,,-0.3573753679181039,-0.7336023973300893
"FW,MF",Bundesliga,32.0,1,3,1700000.0,0.11,2.05,3.07,20.56,0.613,1.72,1.83,1.35,4.95,6.67,1.13,0.11,1.08,0.43,1.99,,,,,,,,,,,,-0.3573753679181039,0.18413118291704758
MF,Serie A,28.0,0,0,310000.0,0.0,1.82,2.12,42.12,0.719,3.33,2.12,0.15,1.97,4.39,0.76,1.06,1.36,0.76,0.76,,,,,,,,,,,,-0.3573753679181039,-2.953461121146917
MF,Serie A,29.0,0,0,2590000.0,0.0,0.79,2.0,43.37,0.854,4.53,1.58,0.42,0.63,1.26,1.47,1.11,1.26,1.32,0.89,,,,,,,,,,,,-0.3573753679181039,0.5845928557077632
"FW,MF",Serie A,27.0,2,0,2410000.0,0.36,2.73,3.1,20.95,0.704,2.37,0.55,0.55,4.01,3.28,1.28,0.18,1.09,1.46,1.64,,,,,,,,,,,,-0.3573753679181039,-1.7683232483342737
DF,Bundesliga,28.0,0,0,980000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.962472144472674
"DF,FW",Premier League,23.0,3,1,2114812.0,0.19,2.69,2.06,25.92,0.696,2.0,3.5,1.31,5.25,8.43,1.06,0.44,0.62,1.44,0.94,,,,,,,,,,,,-0.3573753679181039,0.3733086612122485
"FW,MF",Serie A,26.0,0,0,900000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.5433717862800247
"FW,MF",Ligue 1,23.0,4,1,900000.0,0.27,2.79,2.45,26.43,0.732,3.82,3.13,1.29,4.36,9.47,1.91,0.41,1.02,0.48,0.75,,,,,,,,,,,,-0.3573753679181039,0.1671965060618041
DF,Ligue 1,26.0,0,1,900000.0,0.0,0.1,0.89,38.9,0.752,3.25,1.18,0.3,0.49,2.26,1.58,0.59,0.89,3.25,0.79,,,,,,,,,,,,-0.3573753679181039,-1.2498660727634119
FW,Ligue 1,24.0,0,0,730000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1262023616571812
DF,Ligue 1,32.0,2,3,720000.0,0.03,0.46,2.94,65.57,0.78,6.03,1.31,0.57,0.46,2.94,2.29,0.8,0.91,2.09,0.23,,,,,,,,,,,,-0.3573753679181039,2.497368251539561
DF,Premier League,28.0,1,0,3021160.0,0.19,0.47,1.41,53.13,0.784,4.8,2.35,1.03,1.03,3.67,2.73,2.16,1.41,3.67,0.85,,,,,,,,,,,,-0.3573753679181039,-1.1492846136561303
GK,La Liga,29.0,0,0,9000000.0,,,,,0.0,,,,,,,,,,,1.0,7.31,0.0,4.0,37.1,1.72,5.2,28.0,0.47,0.8,14.2,-0.3573753679181039,-0.847002735357039
DF,Bundesliga,27.0,5,1,540000.0,0.25,1.09,1.01,42.16,0.775,3.7,0.42,0.21,2.65,0.59,1.6,1.3,1.3,4.38,4.5,,,,,,,,,,,,-0.3573753679181039,1.1739529497702414
DF,Bundesliga,29.0,0,0,1500000.0,0.0,0.25,1.34,59.47,0.861,4.43,0.75,0.59,0.42,0.67,2.84,1.42,2.01,3.26,2.01,,,,,,,,,,,,-0.3573753679181039,-0.7816488115521012
FW,Bundesliga,33.0,5,1,720000.0,0.19,2.39,2.36,24.53,0.628,3.01,0.89,0.31,4.87,6.37,0.7,0.42,0.89,1.35,6.06,,,,,,,,,,,,-0.3573753679181039,1.0345570226305179
DF,Serie A,28.0,0,0,1850000.0,0.0,0.0,0.69,62.94,0.884,2.35,0.41,0.69,0.14,0.28,1.66,0.69,0.69,3.87,1.24,,,,,,,,,,,,-0.3573753679181039,-2.161407013800602
DF,Ligue 1,25.0,1,0,1500000.0,0.03,0.79,1.15,56.4,0.88,4.4,0.97,0.37,0.92,0.13,0.76,0.73,1.39,3.87,2.04,,,,,,,,,,,,-0.3573753679181039,1.9667485999579948
MF,Bundesliga,33.0,1,0,2500000.0,0.05,0.42,2.89,64.91,0.913,5.58,2.1,0.68,0.68,1.53,1.53,0.89,1.26,1.1,0.21,,,,,,,,,,,,-0.3573753679181039,0.048353316894197654
DF,Bundesliga,29.0,0,2,2420000.0,0.0,0.18,2.51,44.85,0.631,3.69,3.08,1.28,1.36,4.66,2.24,1.06,1.28,2.11,1.14,,,,,,,,,,,,-0.3573753679181039,0.866548921057853
GK,Bundesliga,33.0,0,0,1100000.0,,,,,0.0,,,,,,,,,,,1.64,7.15,1.25,1.82,46.06,3.55,9.39,46.2,0.46,0.52,13.4,-0.3573753679181039,2.664586800884391
"FW,MF",Bundesliga,21.0,3,0,900000.0,0.13,1.2,2.91,37.75,0.773,3.36,2.22,1.01,2.28,7.35,2.72,1.46,1.71,1.71,0.57,,,,,,,,,,,,-0.3573753679181039,0.2572088410012057
"FW,MF",Premier League,22.0,2,1,604232.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.037410545832922
"FW,MF",Bundesliga,23.0,3,0,120000.0,0.19,2.38,3.71,39.58,0.731,4.47,2.66,1.05,2.57,4.28,1.43,0.38,1.14,1.62,1.33,,,,,,,,,,,,-0.3573753679181039,-0.33655474379205513
MF,Serie A,34.0,0,2,2560000.0,0.0,0.08,2.99,51.27,0.812,4.53,0.97,0.32,0.65,1.62,2.75,0.4,1.54,1.7,0.57,,,,,,,,,,,,-0.3573753679181039,-0.01594024288731884
MF,Bundesliga,30.0,7,10,720000.0,0.13,2.38,7.28,67.21,0.667,9.6,2.68,0.78,1.73,4.47,1.8,0.65,1.57,0.59,0.26,,,,,,,,,,,,6.352122145088769,2.1936970632618373
GK,Bundesliga,33.0,0,0,3500000.0,,,,,0.0,,,,,,,,,,,1.48,7.13,2.0,2.12,38.45,2.87,6.76,36.6,0.37,0.94,15.0,-0.3573753679181039,2.3301497021947313
DF,Bundesliga,32.0,0,0,1100000.0,0.0,0.1,1.12,57.03,0.875,4.26,0.58,0.2,0.27,0.44,0.82,0.55,1.29,4.29,0.75,,,,,,,,,,,,-0.3573753679181039,2.068688240657133
"FW,MF",Bundesliga,31.0,3,4,2400000.0,0.11,1.99,2.85,26.41,0.608,3.07,0.8,0.34,3.02,6.26,1.54,0.34,0.63,0.68,1.59,,,,,,,,,,,,3.784745054983229,0.19917881297495657
DF,La Liga,31.0,0,0,600000.0,0.0,0.26,0.9,46.48,0.74,3.22,0.77,0.39,0.52,2.45,2.45,0.52,1.42,3.22,1.29,,,,,,,,,,,,-0.3573753679181039,-1.5214259274230377
FW,Serie A,23.0,11,6,1540000.0,0.26,3.63,5.19,41.74,0.804,3.5,6.23,3.45,6.07,9.11,1.35,0.42,0.65,0.29,0.39,,,,,,,,,,,,-0.3573753679181039,2.181197005524152
MF,Ligue 1,23.0,1,1,870000.0,0.04,1.74,3.52,48.52,0.862,4.5,2.99,1.47,1.92,2.54,1.83,0.76,0.89,1.52,0.85,,,,,,,,,,,,-0.3573753679181039,1.1785293539784403
"FW,MF",Premier League,31.0,1,0,911708.0,0.55,3.39,2.53,24.63,0.58,2.29,0.79,0.47,7.11,6.39,0.87,0.24,0.71,1.18,6.87,,,,,,,,,,,,-0.3573753679181039,-2.5101021903203358
DF,La Liga,26.0,0,2,6670000.0,0.0,0.4,1.37,63.69,0.753,5.65,1.86,0.4,0.81,3.39,2.83,1.05,1.78,3.15,1.45,,,,,,,,,,,,-0.3573753679181039,-0.523805411131377
DF,Premier League,33.0,1,10,7250785.0,0.03,0.36,3.77,82.73,0.761,6.73,1.65,0.57,1.32,5.09,2.13,0.93,1.53,2.21,1.05,,,,,,,,,,,,-0.3573753679181039,1.3702063952074686
"FW,MF",La Liga,27.0,0,0,420000.0,0.0,1.3,3.71,32.1,0.699,2.23,4.64,2.78,3.9,11.13,1.67,0.37,0.93,0.56,0.74,,,,,,,,,,,,-0.3573753679181039,-1.7809523327769043
"FW,MF",La Liga,27.0,1,0,420000.0,0.09,1.21,2.98,40.29,0.759,4.76,1.87,1.03,1.4,4.94,3.08,0.84,1.03,1.03,1.03,,,,,,,,,,,,-0.3573753679181039,-0.7360040619457464
DF,La Liga,33.0,0,0,1000000.0,0.0,0.14,1.62,61.24,0.841,5.29,2.6,0.42,0.6,3.06,1.95,1.9,1.25,2.37,0.65,,,,,,,,,,,,-0.3573753679181039,-0.03444990158430627
"FW,MF",La Liga,34.0,3,2,650000.0,0.19,3.46,2.58,19.25,0.667,2.01,1.2,1.01,6.73,6.29,0.57,0.06,1.07,0.75,3.02,,,,,,,,,,,,0.42999629847979226,0.5271835890458589
"MF,DF",Bundesliga,23.0,0,0,870000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.286074132064399
DF,Bundesliga,22.0,0,1,320000.0,0.04,0.52,1.8,58.99,0.738,3.7,1.38,0.71,1.23,3.67,2.09,0.97,1.53,2.84,1.5,,,,,,,,,,,,-0.3573753679181039,0.7134635454520774
DF,Serie A,28.0,0,1,900000.0,0.0,1.92,2.13,24.1,0.686,1.6,1.81,1.07,2.88,4.16,1.92,0.64,1.92,3.52,1.17,,,,,,,,,,,,-0.3573753679181039,-0.688103555428301
MF,La Liga,28.0,6,2,830000.0,0.18,1.16,2.3,86.24,0.887,8.32,1.22,0.64,0.55,2.33,1.41,0.7,1.04,0.61,0.58,,,,,,,,,,,,-0.3573753679181039,2.868293168805252
"MF,DF",Bundesliga,34.0,0,0,800000.0,0.0,0.56,0.99,50.52,0.826,4.93,0.56,0.21,0.77,0.49,2.81,1.27,1.83,2.96,2.32,,,,,,,,,,,,-0.3573753679181039,-0.009849624609467703
"MF,DF",Bundesliga,27.0,3,0,1890000.0,0.16,1.17,0.91,54.72,0.88,2.4,0.8,0.27,1.6,0.48,2.03,1.17,1.81,3.47,2.08,,,,,,,,,,,,-0.3573753679181039,0.0839495623102977
GK,Bundesliga,31.0,0,0,4000000.0,,,,,0.0,,,,,,,,,,,1.54,6.86,0.0,1.54,40.62,3.44,6.23,48.0,0.74,1.58,16.0,-0.3573753679181039,1.159619856780921
DF,Serie A,31.0,0,0,1150000.0,0.0,0.21,0.62,52.06,0.865,2.06,0.41,0.31,0.1,0.31,1.65,1.03,1.34,2.68,1.13,,,,,,,,,,,,-0.3573753679181039,-1.382225796919654
DF,Ligue 1,26.0,0,2,780000.0,0.0,0.52,1.36,41.97,0.791,3.03,1.05,0.84,0.84,3.03,2.09,1.36,0.94,3.98,1.36,,,,,,,,,,,,-0.3573753679181039,-1.2089436350698226
MF,La Liga,32.0,0,4,6670000.0,0.0,0.36,2.16,80.8,0.898,6.96,0.86,0.36,0.39,0.99,2.11,0.55,1.22,1.17,0.44,,,,,,,,,,,,-0.3573753679181039,2.0793012515974842
FW,Ligue 1,28.0,0,0,300000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.4718563516519154
"MF,DF",Bundesliga,26.0,0,3,9000000.0,0.07,0.76,2.97,66.22,0.876,5.77,3.08,1.24,2.18,4.39,3.35,1.0,2.11,0.97,0.55,,,,,,,,,,,,-0.3573753679181039,0.693612586162854
DF,Premier League,26.0,1,0,3021160.0,0.04,0.85,0.66,45.83,0.821,3.72,0.89,0.31,1.24,0.19,1.24,1.59,1.24,4.45,2.48,,,,,,,,,,,,-0.3573753679181039,-0.14126788667400572
DF,Serie A,32.0,0,0,930000.0,0.0,0.19,0.38,54.5,0.912,1.92,0.0,0.19,0.38,0.38,1.73,0.38,1.92,3.65,3.84,,,,,,,,,,,,-0.3573753679181039,-2.0080778321720896
DF,Premier League,28.0,0,3,4531741.0,0.0,0.47,3.21,74.5,0.796,5.17,3.44,0.63,1.72,7.75,2.43,1.17,1.1,1.64,0.39,,,,,,,,,,,,-0.3573753679181039,-1.4337173587811236
MF,Serie A,25.0,6,1,770000.0,0.23,1.63,2.92,36.77,0.737,4.98,1.05,0.54,2.8,3.35,1.4,0.89,0.93,1.28,1.98,,,,,,,,,,,,-0.3573753679181039,1.8540838026131805
MF,Bundesliga,27.0,2,1,1040000.0,0.14,1.01,1.58,44.17,0.796,4.82,1.01,0.43,1.01,1.37,2.23,1.58,1.01,1.22,1.3,,,,,,,,,,,,-0.3573753679181039,-0.4649629477183694
MF,Serie A,22.0,1,2,1030000.0,0.08,1.68,2.02,78.8,0.893,3.96,0.51,0.59,0.25,1.01,0.93,1.09,1.01,1.01,0.34,,,,,,,,,,,,-0.3573753679181039,-0.9909000515457151
DF,Premier League,26.0,2,1,2416928.0,0.1,0.59,1.33,39.79,0.753,3.0,1.08,0.49,2.85,1.52,1.87,1.23,1.28,3.88,3.1,,,,,,,,,,,,-0.3573753679181039,0.8394888453077318
"DF,FW",Ligue 1,25.0,0,2,3000000.0,0.0,0.68,3.04,56.83,0.764,5.78,3.2,2.05,1.75,7.15,2.74,1.14,1.29,1.67,2.28,,,,,,,,,,,,-0.3573753679181039,-0.16097293825866246
DF,Premier League,29.0,3,0,7552901.0,0.09,0.46,0.4,36.14,0.835,1.6,0.2,0.06,0.97,0.06,0.77,0.94,1.17,5.14,1.97,,,,,,,,,,,,-0.3573753679181039,2.3582701419682732
"FW,MF",Ligue 1,37.0,4,2,1400000.0,0.19,1.85,3.5,31.57,0.813,2.93,1.78,0.45,3.37,5.66,0.64,0.19,0.57,0.45,0.25,,,,,,,,,,,,2.997373388585333,0.1467019022493123
MF,Ligue 1,28.0,0,2,840000.0,0.0,0.42,1.25,34.89,0.787,3.63,0.65,0.24,0.48,0.18,1.84,1.55,0.89,2.2,1.43,,,,,,,,,,,,-0.3573753679181039,0.25455924774888583
"FW,MF",Ligue 1,28.0,1,2,410000.0,0.05,1.03,1.81,26.66,0.571,1.37,3.18,1.52,2.05,6.95,1.42,0.54,0.68,1.52,0.49,,,,,,,,,,,,-0.3573753679181039,0.9467775614432834
"FW,MF",La Liga,23.0,3,5,150000.0,0.17,2.35,3.41,19.42,0.597,2.41,3.41,1.85,3.47,5.93,0.73,1.9,1.01,0.78,0.34,,,,,,,,,,,,-0.3573753679181039,0.4456676596138919
MF,Serie A,28.0,0,1,510000.0,0.0,0.65,1.63,39.02,0.845,3.88,1.55,0.82,0.98,1.63,2.12,0.82,1.1,1.18,1.18,,,,,,,,,,,,-0.3573753679181039,0.911475010981693
MF,Ligue 1,31.0,2,1,720000.0,0.03,0.77,2.26,58.72,0.852,6.23,1.19,1.42,0.33,1.54,2.52,1.9,0.95,1.87,0.45,,,,,,,,,,,,-0.3573753679181039,2.372430321480177
DF,Serie A,30.0,1,0,1390000.0,0.14,0.43,0.43,42.86,0.877,0.57,0.29,0.14,0.71,0.0,1.29,2.71,1.43,5.57,1.14,,,,,,,,,,,,-0.3573753679181039,-1.8503140314260191
DF,Ligue 1,31.0,0,0,6000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9598975663796003
MF,Serie A,22.0,6,2,510000.0,0.18,2.16,4.61,38.59,0.755,3.33,2.34,1.76,1.1,3.41,1.39,0.4,0.95,0.99,0.51,,,,,,,,,,,,1.3199990103336146,1.729718624531745
MF,Premier League,29.0,1,0,5560000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.2679770702536386
MF,Bundesliga,24.0,4,1,1680000.0,0.13,1.27,2.0,31.68,0.734,3.14,0.77,0.5,2.37,1.67,2.2,1.3,1.6,1.97,1.3,,,,,,,,,,,,-0.3573753679181039,1.9362264955687953
MF,Serie A,29.0,3,5,5770000.0,0.0,0.86,2.64,71.45,0.882,6.88,0.96,0.36,0.31,0.55,1.77,1.17,1.03,1.77,0.38,,,,,,,,,,,,4.674747766837051,2.28212016897234
"FW,MF",Premier League,29.0,12,1,5438089.0,0.64,2.88,3.4,34.5,0.737,3.96,3.2,1.2,5.88,7.52,1.4,0.48,1.16,0.56,0.28,,,,,,,,,,,,-0.3573753679181039,0.8902118585549134
DF,Bundesliga,29.0,0,0,850000.0,0.0,0.86,3.36,59.46,0.685,3.87,2.07,0.6,0.77,2.32,1.72,0.86,1.46,2.58,0.77,,,,,,,,,,,,-0.3573753679181039,-0.7958089910640054
FW,Ligue 1,28.0,3,0,840000.0,0.44,2.33,1.75,17.21,0.729,1.31,1.17,0.58,5.4,3.94,0.73,0.0,0.88,1.6,3.21,,,,,,,,,,,,-0.3573753679181039,-1.5257273972217245
"FW,MF",Bundesliga,31.0,6,3,1890000.0,0.25,1.65,2.96,33.6,0.781,3.5,1.14,0.68,3.88,5.32,1.52,1.18,0.93,1.01,1.31,,,,,,,,,,,,-0.3573753679181039,1.2379175635965465
"FW,MF",Ligue 1,23.0,3,4,7270000.0,0.14,1.66,4.56,61.11,0.818,7.1,3.5,1.98,3.0,8.39,1.75,0.37,0.6,0.28,0.28,,,,,,,,,,,,-0.3573753679181039,0.16444901449131433
MF,Bundesliga,24.0,1,1,120000.0,0.04,0.57,0.74,37.49,0.74,2.46,0.12,0.25,0.82,0.7,1.76,0.98,1.27,3.49,2.71,,,,,,,,,,,,-0.3573753679181039,1.5103918745750269
DF,Serie A,24.0,1,0,1540000.0,0.1,0.57,0.68,71.99,0.877,4.33,0.73,0.16,1.2,0.1,1.36,0.89,0.94,3.76,3.6,,,,,,,,,,,,-0.3573753679181039,0.211164252894319
"FW,MF",Premier League,26.0,10,9,7250785.0,0.41,2.3,4.15,33.36,0.716,3.41,4.28,2.47,5.51,9.46,0.66,0.41,0.74,0.29,0.62,,,,,,,,,,,,-0.3573753679181039,1.431600553554626
DF,Ligue 1,25.0,2,0,990000.0,0.05,0.42,0.89,60.83,0.852,4.22,0.57,0.44,0.55,0.16,3.21,2.11,1.36,3.73,2.37,,,,,,,,,,,,-0.3573753679181039,1.3375804437710475
MF,Bundesliga,30.0,1,2,2500000.0,0.05,1.65,2.47,47.28,0.804,4.83,3.46,0.99,1.81,4.17,2.58,0.66,0.99,0.38,0.33,,,,,,,,,,,,-0.3573753679181039,0.6228825811486539
DF,Bundesliga,37.0,1,0,3500000.0,0.0,0.22,0.66,44.23,0.786,2.87,0.0,0.11,0.33,0.11,0.77,1.1,1.21,4.41,1.32,,,,,,,,,,,,1.3199990103336146,-2.013870632881505
FW,Serie A,35.0,4,1,1300000.0,0.57,3.58,2.01,22.5,0.554,2.29,0.14,0.0,6.02,5.73,0.14,0.0,0.29,1.0,8.17,,,,,,,,,,,,-0.3573753679181039,-1.2980332684625173
DF,Serie A,31.0,1,2,5560000.0,0.04,0.5,2.67,54.68,0.775,3.04,6.12,1.42,2.04,4.29,1.21,0.17,0.92,1.08,0.29,,,,,,,,,,,,-0.3573753679181039,-0.040642540794253355
DF,Bundesliga,22.0,1,0,190000.0,0.15,0.45,1.06,55.15,0.846,2.58,0.91,0.15,0.45,3.33,2.27,0.76,1.21,1.97,0.61,,,,,,,,,,,,-0.3573753679181039,-1.4863941887570338
MF,Premier League,20.0,0,0,2719044.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.002853660826696
